npp,rh,fFire,cVeg,cLitter,cSoil,tas,tos,fgco2,dpco2,spco2
40.84752127,38.74562543,2.027357646,579.1686241,10.03998583,473.3568281,286.1487203,291.2769,0.4365903,2.1079988,295.139
41.12092599,38.0571538,2.053323211,581.0615605,9.758516762,472.9629369,286.0707655,291.2691,0.8264831,0.7732819,296.69968
40.00278442,38.96235435,2.143185928,579.2256107,10.65375502,473.2062474,285.8448024,291.17462,0.8024992,0.2198661,299.11426
40.87110972,38.08797143,2.136675747,579.3028464,10.2121518,473.3068252,285.9222943,291.11786,1.0042313,-0.3507807,301.54337
40.65992505,38.13398932,2.129156612,579.4226461,10.36529057,473.3143896,285.8369011,291.17908,1.2347713,-1.376176,303.519
40.27395797,38.47203305,2.272244091,579.3988568,10.39498608,473.3067543,286.0734433,291.21866,1.3275403,-1.72871,306.24396
40.69755525,38.169563,2.039381111,579.4744778,10.32129156,473.3372046,285.6625442,291.17468,1.4915024,-2.6108303,308.40802
41.02465078,38.67821385,1.877729674,579.8135444,10.3781586,473.4527992,286.0549299,291.21747,1.5232985,-2.6287622,311.4941
39.94886707,38.20367818,2.179353082,580.0229474,10.46931607,473.5092598,285.9986953,291.26068,1.9213008,-3.9456193,313.32983
40.42253588,38.719907,2.263720741,578.3956583,10.59206637,473.8081466,285.8472488,291.21158,1.9554597,-4.6341677,315.82184
42.03403122,38.15754045,1.931291399,579.9806551,10.1255165,473.6820867,285.9644785,291.20865,1.9254087,-4.3023033,319.34805
40.30026801,38.21204387,2.226434338,580.7385104,10.42531222,473.6054632,285.9584616,291.22763,2.1125848,-5.263944,321.5882
40.65112049,38.30260378,2.361465071,580.5795725,10.27965862,473.6209604,286.2178812,291.33875,2.2561252,-5.6451063,324.51382
41.4223563,38.59389982,2.02802617,581.258778,10.10105334,473.4062022,285.9377332,291.30563,2.425021,-6.9439545,326.5061
41.3578977,38.78144915,1.935978825,582.6654866,10.43551847,473.2556903,285.9818018,291.24466,2.5347722,-7.4194093,329.39725
41.30558497,39.17170834,1.891460835,582.4476554,10.66079873,473.5685993,285.8211647,291.25327,2.604657,-7.5189905,332.64368
40.99194045,38.40984276,2.166686868,583.0087576,10.51973846,473.6598117,286.0891797,291.27884,2.6200428,-7.4330397,336.0969
40.8877494,38.75927073,2.296813725,582.3953326,10.74245719,473.812746,286.4212645,291.3846,2.8378842,-9.009743,337.98563
41.89672966,38.7584178,2.099955088,582.6233084,10.36564258,473.85181,286.2152695,291.33963,3.169018,-9.966414,340.54224
42.5679504,38.82905482,1.850920577,584.9920434,10.36530701,473.6076511,285.8564724,291.17554,2.809023,-8.129217,345.88593
42.02134711,38.59714835,1.793585277,587.446011,10.35308073,473.4231633,285.5530173,291.0948,2.72544,-7.5726,349.97455
40.39402197,39.36944507,2.13659866,586.446115,11.32255708,473.7921263,286.0163822,291.24207,2.8752596,-8.701376,352.38156
41.39685517,39.01694522,2.102460526,585.0191903,11.01375181,474.3374452,285.8838789,291.30576,2.9365795,-8.931628,355.78165
42.92335655,38.73036655,1.901453942,587.0690751,10.34718396,474.268334,285.7580206,291.2198,3.019007,-9.727508,358.64648
42.20248374,39.02816751,2.03322035,589.3534822,10.64026421,474.0688888,285.8228507,291.17737,3.081438,-9.896226,362.20883
41.80148492,39.25127444,1.886367486,589.7027315,10.9478919,474.3209566,285.6820494,291.24365,3.158249,-9.974693,365.78604
41.72961281,39.26192105,1.99109638,589.7249012,10.92846756,474.6409104,285.9278814,291.2649,3.3477006,-10.539059,368.9644
42.57904666,39.15791612,2.000240932,591.1245332,10.66916142,474.6258737,285.9530068,291.31012,3.3293746,-10.606321,372.70712
42.50684578,38.932306,2.018192972,592.69445,10.59612645,474.7012444,285.8860939,291.30887,3.2591398,-11.129939,375.99365
42.16239308,39.07045296,2.104092132,593.6410732,10.86903089,474.7959644,285.8476124,291.32535,3.4259603,-11.55497,379.40317
42.12551633,38.8606642,2.167245354,594.0042054,10.83508082,474.9890037,286.0285482,291.3195,3.512335,-11.866343,383.04562
42.57804095,39.16088286,2.140245638,595.421948,10.69195202,474.9831143,286.2986461,291.32535,3.691622,-12.530353,386.34164
42.30449826,39.88748375,2.14075065,595.2976349,11.06124223,475.223527,286.0597896,291.2984,3.73229,-12.895877,389.97006
41.93186389,38.77022709,2.633353536,595.6960264,10.89110233,475.3873038,286.3131262,291.27542,3.8105257,-13.367762,393.52148
43.22438783,39.47753238,2.159303831,596.3105603,10.49623033,475.4790299,286.0587317,291.20435,3.7259066,-12.642049,398.37485
43.62210929,39.53168383,1.852527305,598.8706681,10.67352645,475.2281717,285.6598002,291.15604,3.6223404,-12.225036,402.86832
42.75550615,39.49571415,2.058968763,600.9485748,10.67403416,475.2662137,285.8326364,291.2212,3.7322986,-12.598868,406.60638
41.84933979,39.63043262,2.160506401,600.8779679,11.17531893,475.5073141,285.8589188,291.30664,3.796595,-12.945566,410.43857
42.71704774,39.79868147,2.180357112,600.58254,11.10391432,475.9069329,285.9512546,291.26025,3.8229282,-13.605709,414.0128
42.40894111,38.75424323,2.240687165,601.7012015,10.93853279,476.0564128,285.8963424,291.23346,3.9019003,-13.993611,417.9193
42.9057744,39.64414838,2.218751738,602.2577021,10.95277493,476.2202184,286.1855157,291.27866,3.9353614,-14.215847,422.00864
43.23849768,39.34317399,2.169912636,604.1066081,10.46712784,476.1587579,286.2062111,291.27664,4.04124,-14.516926,426.08252
42.76336783,39.84796865,2.145928824,604.9797279,11.06010449,476.212064,285.9416342,291.21805,4.0580273,-14.826301,430.18427
43.3705914,39.51678125,1.988760116,606.1925705,10.82196416,476.3651444,285.8713162,291.15707,4.0837975,-15.315851,434.11237
43.06281573,39.51510601,1.917802745,608.3002338,10.8177986,476.3319947,285.7871793,291.12198,3.8896644,-14.208419,439.7586
43.42538005,40.01622975,1.854689088,609.9769066,10.94351835,476.4506842,285.7164315,291.2311,4.1881747,-15.296615,443.20773
42.77761187,40.1928244,2.147165861,609.8277575,11.27845012,476.783212,285.9620321,291.3024,4.3478723,-15.418496,447.656
43.49590673,39.5814883,2.219397409,610.9721982,11.02858345,476.8860753,285.848505,291.3348,4.276393,-15.62209,452.08615
43.94302485,40.3647272,2.025521302,612.5721823,10.95445721,477.0128711,286.1747713,291.35907,4.2010603,-15.484578,456.93115
43.91902719,40.14522209,1.965264812,614.8594215,10.98708388,477.0039072,285.9112193,291.35458,4.3060875,-16.056658,461.0086
42.72210331,39.89946385,2.362663474,614.6700385,11.47843603,477.3745698,285.9118805,291.31317,4.405807,-16.41701,465.4556
43.86910045,40.57333068,2.118534818,614.499284,11.24455398,477.7357294,286.0236884,291.2671,4.3787594,-16.579271,470.1518
44.66549738,39.86128451,1.882477935,617.9969992,10.80543851,477.5873693,285.9690077,291.24905,4.3030906,-16.101181,475.48703
43.62738648,40.19053199,2.185363249,619.6192519,11.16601451,477.6868217,285.8534309,291.27612,4.3153253,-16.202707,480.26547
42.93381288,40.42206656,2.323170743,618.9143465,11.71076824,478.1288423,285.9113515,291.249,4.436644,-17.519203,483.8921
43.88121016,39.88792175,2.214808527,619.7602369,11.04520137,478.3815995,286.0954941,291.32074,4.4261155,-17.244076,489.1987
43.98304192,40.80593746,2.145829101,620.7464745,11.20598194,478.5364607,286.1767549,291.26285,4.5609016,-17.865204,493.68353
44.34545068,39.85982393,2.012954121,623.3274126,10.86050896,478.5162152,286.0570457,291.2937,4.4800215,-17.147697,499.53052
42.76068062,40.30329573,2.478685707,623.3828812,11.5989349,478.7371539,286.3941225,291.36618,4.560474,-17.67841,504.10983
43.79798547,40.90146808,2.399937977,623.2183408,11.11497629,479.0622846,286.6919574,291.45245,4.5867796,-17.785849,509.23895
45.07961744,40.75942952,2.046642296,624.6450886,10.85501918,479.1138743,286.0966182,291.27957,4.682228,-18.327755,513.98083
44.55982968,40.3187989,1.870719055,627.7524405,11.02704922,478.925055,285.729457,291.25763,4.609516,-17.601263,519.9835
43.48567244,41.3716754,2.108958422,628.042578,11.64169383,479.306302,286.0647486,291.31024,4.5324936,-17.675158,525.3192
44.04517742,40.7829427,2.200136063,628.314317,11.25657642,479.7473723,286.2109386,291.31693,4.877296,-18.918083,529.5678
44.55782681,40.56092341,2.265951371,629.5932158,11.10978149,479.8182538,286.1165532,291.3795,4.8327103,-18.930025,534.94653
45.00928356,41.21808796,2.12018044,631.1343747,11.07691485,479.8733259,286.2433372,291.33514,4.795976,-18.648823,540.8246
45.81571026,40.65358926,1.958639523,634.2772936,10.80088553,479.7493497,286.021771,291.2293,4.6227937,-18.680145,546.4089
44.45473181,40.91754389,1.993777,636.6016706,11.39358872,479.7401751,285.7570949,291.1659,4.541491,-18.483263,552.24744
44.36108858,41.3946282,2.059279581,637.0846624,11.5736891,480.1862743,286.1782426,291.22342,4.689106,-19.52048,556.9261
44.34839546,40.67852289,2.196954838,637.8800085,11.53572024,480.4721861,286.1415794,291.27692,4.9683475,-19.954498,562.24927
45.50268318,41.4158731,1.875476678,639.3467618,11.13161958,480.7334624,286.2219806,291.2691,4.868087,-20.401688,567.60583
44.28944571,40.67011924,2.219975559,641.0977524,11.43931592,480.8441065,285.9850747,291.28568,5.044827,-20.743284,573.0565
45.19203381,41.44780754,2.133935443,641.4926988,11.48012989,481.173784,286.0545662,291.28992,4.901192,-19.918125,579.9317
45.83014346,40.76397355,1.966930814,644.9464304,11.09651635,481.080647,285.9839507,291.17648,4.850345,-20.119844,585.74805
45.15349375,41.21900618,1.89818928,647.2144655,11.23340877,481.1492396,285.8913174,291.16187,4.696085,-19.276377,592.5936
44.38111766,41.4871875,2.190056078,647.9563322,11.76023218,481.4216408,285.9786611,291.24066,4.9359303,-21.251242,596.72327
44.68317571,41.25592396,2.435547592,647.867504,11.81543455,481.8284983,286.2100791,291.353,4.896512,-20.086332,604.062
45.17712647,41.54018596,2.311693845,648.0163413,11.48425125,482.1946621,286.3923703,291.28262,5.116062,-21.460697,608.9283
45.94429339,41.21516268,1.92208554,650.9126269,11.15553822,482.1358126,286.0678562,291.23962,5.0129843,-20.944319,615.82263
45.72982306,41.39196816,1.870494567,654.4056886,11.29261652,482.0213869,286.2596025,291.25125,5.065803,-21.02956,622.06915
44.93911378,42.06289681,2.060239576,654.9189928,11.58856275,482.4038765,286.0159525,291.31693,4.955593,-21.037968,628.4349
44.34032571,41.71100104,2.408227483,654.1520346,12.0864746,482.8680563,286.4721434,291.3971,5.095025,-22.642096,633.3248
45.36280322,41.68713057,2.364013848,654.2735735,11.57958638,483.2916334,286.4030156,291.33722,5.32311,-22.616737,639.9943
46.42917147,41.51063381,2.085814675,656.7122711,11.26421697,483.348348,286.3930646,291.25034,5.3065405,-22.55378,646.6345
46.30196448,41.85790263,1.942388706,659.9756992,11.09593922,483.2557183,286.144687,291.19894,5.04819,-21.455044,654.5108
45.32055121,41.93538887,1.961166417,661.8285466,11.58753381,483.3584285,285.9848102,291.24973,4.9527607,-22.025188,660.61835
45.27800487,42.15933964,2.110651316,662.0393132,11.76955879,483.8118033,286.2548419,291.274,5.1891227,-22.20107,667.2606
45.16588268,41.46732924,2.489249619,662.7050798,11.73481967,484.0914864,286.2809591,291.37146,5.487057,-23.27699,673.1031
46.38479323,42.29733403,2.153470576,663.1789209,11.52869505,484.3703887,286.4072472,291.36133,5.401449,-22.228554,681.13586
46.19575939,41.64633869,2.010982244,665.3642614,11.70343319,484.4690815,286.0513594,291.2585,5.1044827,-22.276936,688.06134
45.63508148,41.77703322,2.158562724,667.5915719,11.7415023,484.5866616,286.0260026,291.325,5.2665405,-21.978737,695.45966
45.71305832,42.72004051,2.061473541,667.7810751,12.09317969,484.9423024,286.2200631,291.35117,5.3977094,-22.193388,702.47144
46.37531225,42.30638319,1.894492146,669.8991588,11.52573771,485.1474791,286.1341079,291.2858,5.288573,-22.82301,709.0834
45.82794843,42.09852697,2.155102377,671.6786321,11.85579326,485.2858526,286.189549,291.30573,5.303653,-22.964264,716.20856
46.00899681,42.34859143,2.102673322,672.9882183,11.63083731,485.5714508,286.0580044,291.2972,5.0777364,-22.738115,723.8813
46.2148117,42.20178506,2.0628474,674.049311,11.76938178,485.8433743,286.2588752,291.31564,5.37646,-23.684658,730.32965
46.09636119,42.53657113,2.273706396,675.5392869,11.99529377,485.9600478,286.3636084,291.35483,5.2890368,-24.290684,737.4386
46.61852224,42.71321252,2.087840666,676.9973914,11.57419764,486.2194288,286.2756034,291.29034,5.5749245,-24.902025,744.397
46.76447387,42.82120848,1.846847387,678.7977178,11.8233495,486.4107057,286.0583681,291.27286,5.2399163,-23.873552,753.11554
46.4140156,42.32265702,2.23369422,680.6347388,11.76042412,486.6286166,286.3210275,291.3705,5.53751,-24.893131,759.8179
46.83080492,43.47673133,1.982181511,681.4551569,11.93830563,486.8616979,286.4019246,291.50702,5.7158957,-24.973288,767.6474
46.11759648,42.62752117,2.419806248,682.3684226,12.14969979,487.1832765,286.5498007,291.4889,5.494311,-25.10091,775.3563
46.62190013,43.53259572,2.137594308,682.3724336,12.13068049,487.6786623,286.1803254,291.4067,5.4280405,-24.059315,784.3669
47.52383327,42.46232551,1.907227676,684.6712452,11.59806088,487.8871764,286.1012135,291.2761,5.149457,-24.199692,792.28674
47.27736447,41.87448889,1.850368841,689.4618163,11.26955243,487.6077526,285.9270219,291.2682,5.1997166,-24.293928,800.3724
45.76430466,43.36812565,2.154723586,689.8665519,12.35478837,487.9532126,286.2816203,291.26453,5.309164,-25.934895,807.02997
45.99079822,43.12199624,2.532428119,688.4090815,12.42323474,488.6770785,286.2938524,291.35657,5.516544,-26.451715,814.7708
47.40538487,42.73754738,2.377405139,689.8322896,11.52686391,488.8127622,286.4897642,291.42435,5.8584666,-27.33788,822.36835
47.01344832,43.51227405,2.223719893,691.3337513,12.07463564,488.8554356,286.5238819,291.2861,5.574242,-26.174215,832.0811
47.77411008,43.12486964,2.00969816,693.3218992,11.7451423,489.1247016,285.9729748,291.24243,5.742316,-25.688152,841.2073
46.98792877,43.14109432,1.917581066,695.6503256,11.89584999,489.2226869,286.1252148,291.32037,5.506247,-26.273258,849.09955
46.99965425,43.80022004,2.31090301,696.51947,12.15241509,489.4875602,286.5227248,291.34412,5.3850384,-26.165712,858.07587
47.59740261,43.56785117,2.017542622,697.3916398,12.02438276,489.8763618,286.063327,291.23187,5.4216466,-25.740047,867.3292
47.68957217,43.07124599,1.948373735,700.2232325,11.75990244,489.9592996,286.0758567,291.2016,5.3219876,-25.891577,876.0652
46.39283104,43.36194015,2.278938813,701.221529,12.23910648,490.2703509,286.3124981,291.26804,5.3486257,-26.790182,884.17194
