npp,rh,fFire,cVeg,cLitter,cSoil,tas,tos,fgco2,dpco2,spco2
21.61704862,39.62862423,2.325128913,598.0852176,11.17142872,502.5316328,285.5612162,290.61215,0.18262534,2.2187192,294.44803
21.52731813,38.83080907,2.169676235,598.6484942,10.55391803,502.3985592,285.2572321,290.61658,0.18991026,2.3698285,294.59915
22.31186685,39.61565351,1.752503468,600.2923244,10.58956657,502.1398621,285.0245579,290.53278,0.08621087,2.2501314,294.47943
22.35655074,39.64069534,2.005565299,601.059012,11.07421635,502.0666007,285.0664115,290.58572,0.112323664,2.3061986,294.53552
21.8714559,39.71074367,2.224482205,599.6853541,11.35778057,502.3570945,285.257695,290.67557,0.15511614,2.8616793,295.09097
21.65108312,39.46704332,2.156929003,599.3746064,10.8359581,502.4801613,285.3448404,290.65732,-0.008379134,2.837047,295.06635
22.31814739,38.92881163,2.03323111,601.41212,10.50861682,502.1323352,285.2296934,290.6381,0.031505484,2.4866369,294.71594
22.03713216,39.73979023,2.626901714,600.293184,11.26975522,502.2209778,285.543397,290.77124,0.2222455,2.53609,294.7654
21.43267456,39.58206328,2.58266929,598.2139228,11.10701678,502.4415021,285.6842313,290.86353,0.23420973,2.8570664,295.08636
21.96652342,39.69336574,2.46353732,597.8812224,10.66069464,502.3140641,285.824669,290.80978,0.18470372,2.5780032,294.8073
21.98998901,39.5137924,2.032977494,598.3058333,10.82193089,502.2460861,285.4945017,290.69165,0.20212461,2.2068427,294.43616
21.96796382,39.74883477,2.322398376,597.1274151,11.31054834,502.414418,285.7002984,290.7415,0.14211087,2.8454692,295.07477
21.55294489,39.41069095,2.145177457,597.3007283,10.66665906,502.4271138,285.4556565,290.7028,0.023022346,2.8852534,295.11456
21.91025094,39.00018019,1.974797214,598.9703604,10.58374187,502.067941,285.4123483,290.65552,0.14548573,2.357009,294.5863
22.3506212,39.80110918,1.947452857,599.3064828,11.04178758,502.0137289,285.4153237,290.7204,0.16962041,2.06616,294.29547
21.71508052,39.70538246,2.212359854,598.5893457,10.844231,502.2249894,285.6030367,290.81854,0.14907892,2.472527,294.70184
22.11962821,39.41362059,2.517599097,597.9283662,11.01299082,502.1274919,285.8808044,290.82385,0.13053471,2.6452842,294.8746
21.72660019,40.16383538,2.260792493,596.5614542,10.91572418,502.3280482,285.7900885,290.74655,0.12623025,2.4837003,294.713
22.17867774,39.52125406,2.280204742,597.9617682,10.70301333,502.08505,285.802519,290.7638,0.16727912,2.704176,294.93347
22.00932494,39.565493,2.242325354,597.7537386,10.76676271,502.0971637,285.4234563,290.73206,0.108963184,2.5794594,294.80878
22.1986063,39.25288209,2.152989761,598.7559104,10.70980291,501.9277471,285.6077973,290.82584,0.04882997,2.9833503,295.21265
21.83994578,39.82274468,2.295284952,597.1895183,11.18374518,502.0888436,285.7318373,290.82608,0.21478759,2.4009762,294.63028
21.72160714,39.22526256,1.95893111,598.3985763,10.45377536,501.9562836,285.6767268,290.80234,0.0978594,2.497377,294.72668
22.48332616,39.6910498,2.161288395,598.2948025,11.13290542,501.8789747,285.6708091,290.87347,0.16786794,2.3628209,294.59213
21.73636958,39.52469982,2.048647303,597.9528673,10.87568338,502.0168974,285.7912787,290.8058,0.03519969,3.046415,295.27573
21.97392543,39.4629939,2.15417787,597.9731116,10.94949239,502.0106236,285.7068772,290.8207,0.18004377,2.728815,294.95813
22.00727828,39.4571828,2.042470791,598.3471946,10.66835137,501.9853762,285.6184425,290.8088,0.011698262,2.9584188,295.1877
22.03407449,39.44254753,1.9098494,599.459249,10.8271667,501.8282085,285.5802916,290.742,-0.0445181,2.7473907,294.9767
22.13554213,39.28607812,2.232388813,599.8539606,10.79496945,501.7415319,285.693984,290.75964,0.16309096,2.427291,294.65662
